<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230519;100000;175.99;176.29;175.4;175.7;345602
AAPL;60;230519;110000;175.69;176.02;175.215;175.64;422921
AAPL;60;230519;120000;175.64;175.82;175.09;175.31;289163
AAPL;60;230519;130000;175.33;175.875;175.26;175.31;180378
AAPL;60;230519;140000;175.32;175.6;175.1;175.54;195903
AAPL;60;230519;150000;175.53;175.6;174.96;175.19;571684
AAPL;60;230522;090000;173.98;174.71;173.65;174.02;247302
AAPL;60;230522;100000;174.02;174.38;173.47;173.9;312792
AAPL;60;230522;110000;173.91;174.59;173.84;174.35;195462
AAPL;60;230522;120000;174.35;174.45;173.92;174.21;171880
AAPL;60;230522;130000;174.21;174.51;173.87;174.25;164300
AAPL;60;230522;140000;174.23;174.61;174.1;174.38;171163
AAPL;60;230522;150000;174.37;174.5;174.04;174.28;362310
AAPL;60;230523;090000;173.13;173.35;172.55;172.97;271192
AAPL;60;230523;100000;172.94;173.19;172.7;172.93;274422
AAPL;60;230523;110000;172.91;173.17;172.53;172.72;194317
AAPL;60;230523;120000;172.75;172.81;171.78;171.93;275047
AAPL;60;230523;130000;171.94;172.48;171.86;172.17;205807
AAPL;60;230523;140000;172.16;172.3;171.5;171.82;295357
AAPL;60;230523;150000;171.81;172.01;171.285;171.54;729304
AAPL;60;230524;090000;171.09;172.26;170.86;171.84;289148
AAPL;60;230524;100000;171.81;171.9;170.98;171.26;290032
AAPL;60;230524;110000;171.27;171.675;170.77;170.99;262095
AAPL;60;230524;120000;171.01;171.32;170.54;171.08;143787
AAPL;60;230524;130000;171.08;171.78;170.855;171.63;142316
AAPL;60;230524;140000;171.62;171.8;171.035;171.33;141918
AAPL;60;230524;150000;171.33;172.41;171.155;171.85;554790
AAPL;60;230525;090000;172.56;173.21;172.055;172.51;402378
AAPL;60;230525;100000;172.51;172.86;171.7;172.4;310432
AAPL;60;230525;110000;172.44;172.79;171.775;172.31;282259
AAPL;60;230525;120000;172.315;173.715;172.315;173.09;328340
AAPL;60;230525;130000;173.13;173.46;172.85;173.38;164386
AAPL;60;230525;140000;173.39;173.89;172.7;172.82;213456
AAPL;60;230525;150000;172.84;173.85;172.82;173.025;519186
AAPL;60;230526;090000;173.32;174.74;173.11;174.605;284029
AAPL;60;230526;100000;174.6;175.58;174.51;175.435;425438
AAPL;60;230526;110000;175.44;175.77;174.89;175.1;370628
AAPL;60;230526;120000;175.12;175.34;175.025;175.23;220291
AAPL;60;230526;130000;175.24;175.53;175.12;175.21;206304
AAPL;60;230526;140000;175.23;175.26;174.84;175.14;195679
AAPL;60;230526;150000;175.13;175.66;174.97;175.38;710097
AAPL;60;230530;090000;176.97;178.98;176.59;177.73;571355
AAPL;60;230530;100000;177.72;178.07;176.98;177.49;370537
AAPL;60;230530;110000;177.43;177.78;176.76;177.32;227279
AAPL;60;230530;120000;177.325;177.975;177.09;177.855;230746
AAPL;60;230530;130000;177.85;177.85;176.82;176.97;182973
AAPL;60;230530;140000;176.95;177.85;176.6;177.47;329804
AAPL;60;230530;150000;177.47;177.68;176.89;177.33;693610
AAPL;60;230531;090000;177.325;179.09;177.07;178.96;354961
AAPL;60;230531;100000;178.97;179.35;177.43;178.37;618043
AAPL;60;230531;110000;178.36;179.06;178.07;178.87;337726
AAPL;60;230531;120000;178.88;179.03;178.46;178.73;260840
AAPL;60;230531;130000;178.735;179.3;178.565;179.06;232323
AAPL;60;230531;140000;179.08;179.29;178.56;178.75;234473
AAPL;60;230531;150000;178.76;179.3;176.77;177.45;1352680
AAPL;60;230601;090000;177.7;177.85;176.94;177.36;273123
AAPL;60;230601;100000;177.33;179.28;177.28;178.93;364407
AAPL;60;230601;110000;178.96;179.64;178.78;179.575;283550
